epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,76909,0.27852,0.39049,0.0928,0.65459,0.59451,0.58043,0.42574,0.38078,0.71429,0.44202,2.278e-05,2.278e-05,2.278e-05
41,78016.6,0.29249,0.44744,0.23382,0.64898,0.65458,0.62794,0.47904,0.2795,0.61182,0.21564,2.08e-05,2.08e-05,2.08e-05
42,79123.6,0.26464,0.41649,0.19224,0.64324,0.63699,0.61619,0.47581,0.28429,0.64422,0.22169,1.882e-05,1.882e-05,1.882e-05
43,80302.8,0.25644,0.40521,0.18394,0.63931,0.64144,0.62247,0.47885,0.28326,0.63612,0.21769,1.684e-05,1.684e-05,1.684e-05
44,81412.2,0.25346,0.39947,0.18085,0.64033,0.64135,0.61415,0.47316,0.2817,0.64656,0.21566,1.486e-05,1.486e-05,1.486e-05
45,82517.1,0.24811,0.39055,0.17338,0.65915,0.62903,0.61595,0.4738,0.28077,0.65314,0.21716,1.288e-05,1.288e-05,1.288e-05
46,83624.6,0.246,0.38832,0.17174,0.65187,0.63583,0.61397,0.47469,0.27695,0.65724,0.20928,1.09e-05,1.09e-05,1.09e-05
47,84735.9,0.2446,0.3784,0.16974,0.66667,0.62964,0.6192,0.47763,0.27603,0.65327,0.21023,8.92e-06,8.92e-06,8.92e-06
48,85836.7,0.24126,0.37579,0.16828,0.65911,0.63397,0.61991,0.47748,0.2765,0.64841,0.20998,6.94e-06,6.94e-06,6.94e-06
49,86955.6,0.23954,0.37074,0.16411,0.66345,0.62825,0.61919,0.47776,0.27874,0.65391,0.21099,4.96e-06,4.96e-06,4.96e-06
50,88070,0.2387,0.36814,0.16522,0.65169,0.63727,0.61915,0.47531,0.27969,0.65321,0.21232,2.98e-06,2.98e-06,2.98e-06
